Log updated: 	05/16/2025 14:44:48 
Media: 		F:\Unity\COMPANY\satisity\Assets\_GAME\Levels\Cooking_Spageti\Sound\Sound 1.mp3 
Log file: 	F:\Unity\COMPANY\satisity\Assets\_GAME\Levels\Cooking_Spageti\Sound\Sound 1_loud.txt 
Format: 	16-bit PCM data, 2 channels @ 44100 Hz
Algorithm: 	Surround processing turned: OFF


Loudness calculations: 

              Pos.	     Time	Mom.(LUFS)	Short(LUFS)	Integ.(LUFS)	Dyn.(LU)

             288	00:00:00.006	-Inf.		-Inf.		-Inf.		  0.00
             576	00:00:00.013	-Inf.		-Inf.		-Inf.		  0.00
             864	00:00:00.019	-Inf.		-Inf.		-Inf.		  0.00
            1152	00:00:00.026	-Inf.		-Inf.		-Inf.		  0.00
            1440	00:00:00.032	-Inf.		-Inf.		-Inf.		  0.00
            1728	00:00:00.039	-Inf.		-Inf.		-Inf.		  0.00
            2016	00:00:00.045	-Inf.		-Inf.		-Inf.		  0.00
            2304	00:00:00.052	-Inf.		-Inf.		-Inf.		  0.00
            2592	00:00:00.058	-Inf.		-Inf.		-Inf.		  0.00
            2880	00:00:00.065	-Inf.		-Inf.		-Inf.		  0.00
            3168	00:00:00.071	-Inf.		-Inf.		-Inf.		  0.00
            3456	00:00:00.078	-Inf.		-Inf.		-Inf.		  0.00
            3744	00:00:00.084	-Inf.		-Inf.		-Inf.		  0.00
            4032	00:00:00.091	-Inf.		-Inf.		-Inf.		  0.00
            4320	00:00:00.097	-Inf.		-Inf.		-Inf.		  0.00
            4608	00:00:00.104	-Inf.		-Inf.		-Inf.		  0.00
            4896	00:00:00.111	-25.97		-34.72		-26.00		 19.90
            5184	00:00:00.117	-25.97		-34.72		-26.00		 19.90
            5472	00:00:00.124	-25.97		-34.72		-26.00		 19.90
            5760	00:00:00.130	-25.97		-34.72		-26.00		 19.90
            6048	00:00:00.137	-25.97		-34.72		-26.00		 19.90
            6336	00:00:00.143	-25.97		-34.72		-26.00		 19.90
            6624	00:00:00.150	-25.97		-34.72		-26.00		 19.90
            6912	00:00:00.156	-25.97		-34.72		-26.00		 19.90
            7200	00:00:00.163	-25.97		-34.72		-26.00		 19.90
            7488	00:00:00.169	-25.97		-34.72		-26.00		 19.90
            7776	00:00:00.176	-25.97		-34.72		-26.00		 19.90
            8064	00:00:00.182	-25.97		-34.72		-26.00		 19.90
            8352	00:00:00.189	-25.97		-34.72		-26.00		 19.90
            8640	00:00:00.195	-25.97		-34.72		-26.00		 19.90
            8928	00:00:00.202	-25.97		-34.72		-26.00		 19.90
            9216	00:00:00.208	-25.10		-33.85		-25.53		 20.30
            9504	00:00:00.215	-25.10		-33.85		-25.53		 20.30
            9792	00:00:00.222	-25.10		-33.85		-25.53		 20.30
           10080	00:00:00.228	-25.10		-33.85		-25.53		 20.30
           10368	00:00:00.235	-25.10		-33.85		-25.53		 20.30
           10656	00:00:00.241	-25.10		-33.85		-25.53		 20.30
           10944	00:00:00.248	-25.10		-33.85		-25.53		 20.30
           11232	00:00:00.254	-25.10		-33.85		-25.53		 20.30
           11520	00:00:00.261	-25.10		-33.85		-25.53		 20.30

              Pos.	     Time	Mom.(LUFS)	Short(LUFS)	Integ.(LUFS)	Dyn.(LU)

           11808	00:00:00.267	-25.10		-33.85		-25.53		 20.30
           12096	00:00:00.274	-25.10		-33.85		-25.53		 20.30
           12384	00:00:00.280	-25.10		-33.85		-25.53		 20.30
           12672	00:00:00.287	-25.10		-33.85		-25.53		 20.30
           12960	00:00:00.293	-25.10		-33.85		-25.53		 20.30
           13248	00:00:00.300	-25.10		-33.85		-25.53		 20.30
           13536	00:00:00.306	-25.09		-33.84		-25.38		 20.20
           13824	00:00:00.313	-25.09		-33.84		-25.38		 20.20
           14112	00:00:00.320	-25.09		-33.84		-25.38		 20.20
           14279	00:00:00.323	-25.09		-33.84		-25.38		 20.20


---------------------------
Results:

Mom. (max): 	-25.09 (LUFS) at 00:00:00.306
Short (max): 	-33.84 (LUFS) at 00:00:00.306
